satisfaction_level,satisfaction_level_tuned,last_evaluation,last_evaluation_tuned,number_project,number_project_tuned,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
0.73,0.73,0.71,0.71,3,3,210,3,0,0,0,technical,low
0.44,0.44,0.4,0.71,3,3,120,6,0,0,0,technical,low
0.6,0.6,0.56,0.56,2,4,203,4,0,0,0,technical,low
0.73,0.73,0.88,0.71,4,4,148,2,0,0,0,support,low
0.8,0.8,0.54,0.71,4,4,258,3,0,0,0,support,low
0.97,0.62,0.5,0.71,3,3,225,2,0,0,0,support,medium
0.99,0.62,0.75,0.75,4,4,208,2,0,0,0,support,medium
0.96,0.62,0.82,0.82,4,4,274,3,0,0,0,support,medium
0.24,0.62,0.7,0.7,5,5,147,6,1,0,0,support,medium
0.45,0.45,0.39,0.71,2,4,167,3,0,0,0,support,medium
0.74,0.74,0.96,0.71,4,4,154,4,0,0,0,support,medium
0.6,0.6,0.98,0.71,4,4,195,3,0,0,0,support,medium
0.67,0.67,0.56,0.56,3,3,237,4,0,0,0,support,medium
0.57,0.57,0.99,0.71,4,4,222,2,0,0,0,support,medium
0.87,0.62,0.71,0.71,5,5,145,4,0,0,0,technical,medium
0.25,0.62,0.83,0.83,3,3,257,5,1,0,0,technical,medium
0.98,0.62,0.84,0.84,3,3,286,4,0,0,0,technical,medium
0.3,0.62,0.64,0.64,2,4,137,3,0,0,0,management,high
0.21,0.62,0.52,0.71,5,5,130,2,0,0,0,IT,low
0.56,0.56,0.7,0.7,3,3,214,2,0,0,0,IT,medium
0.75,0.75,0.96,0.71,3,3,138,2,0,0,0,IT,medium
0.5,0.5,0.77,0.77,3,3,166,3,0,0,0,IT,medium
0.61,0.61,0.92,0.71,4,4,159,5,0,0,0,IT,medium
0.83,0.83,0.59,0.59,5,5,160,4,0,0,0,product_mng,low
0.66,0.66,0.76,0.76,3,3,155,4,1,0,0,product_mng,low
0.84,0.84,0.68,0.68,3,3,231,3,0,0,0,product_mng,low
0.87,0.62,0.57,0.57,4,4,227,3,0,0,0,product_mng,low
0.48,0.48,0.37,0.71,3,3,181,2,0,0,0,IT,low
0.84,0.84,0.79,0.79,4,4,222,3,0,0,0,RandD,low
0.49,0.49,0.71,0.71,3,3,196,3,0,0,0,RandD,low
0.67,0.67,0.93,0.71,3,3,206,3,0,0,0,RandD,low
0.12,0.62,0.93,0.71,6,4,257,6,1,0,0,RandD,low
0.99,0.62,0.67,0.67,5,5,153,2,0,0,0,RandD,low
0.17,0.62,0.59,0.59,5,5,250,5,0,0,0,marketing,low
0.58,0.58,0.66,0.66,3,3,250,5,0,0,0,sales,low
0.5,0.5,0.73,0.73,3,3,148,3,0,0,0,accounting,low
0.35,0.62,0.69,0.69,3,3,141,2,1,0,0,support,low
0.93,0.62,0.95,0.71,6,4,147,3,0,0,0,technical,low
0.73,0.73,0.87,0.87,3,3,142,3,0,0,0,management,low
0.91,0.62,0.54,0.71,3,3,210,2,0,0,0,marketing,low
0.72,0.72,0.66,0.66,3,3,152,2,0,0,0,marketing,low
0.51,0.51,0.39,0.71,3,3,149,3,0,0,0,marketing,low
0.55,0.55,0.92,0.71,3,3,198,3,0,0,0,sales,low
0.66,0.66,0.76,0.76,3,3,139,5,0,0,0,sales,low
0.84,0.84,0.41,0.71,6,4,255,6,1,0,0,sales,medium
0.81,0.81,0.8,0.8,4,4,229,2,0,0,0,sales,medium
0.81,0.81,0.69,0.69,5,5,134,2,0,0,0,sales,medium
0.5,0.5,0.75,0.75,5,5,255,3,0,0,0,sales,medium
0.78,0.78,0.68,0.68,5,5,189,3,0,0,0,sales,medium
0.76,0.76,0.74,0.74,3,3,183,3,0,0,0,sales,medium
0.49,0.49,0.71,0.71,3,3,154,2,0,0,0,sales,medium
0.99,0.62,0.61,0.61,3,3,167,3,0,0,0,sales,medium
0.73,0.73,0.48,0.71,4,4,139,5,0,0,0,sales,medium
0.88,0.62,0.74,0.74,5,5,245,2,0,0,0,sales,medium
0.79,0.79,0.91,0.71,4,4,200,3,0,0,0,sales,medium
0.83,0.83,0.98,0.71,3,3,159,2,0,0,0,sales,medium
0.21,0.62,0.44,0.71,4,4,163,6,0,0,0,sales,high
0.87,0.62,0.52,0.71,3,3,158,2,1,0,0,sales,low
1,0.62,0.89,0.71,3,3,194,3,0,0,0,sales,medium
0.49,0.49,0.98,0.71,3,3,267,3,1,0,0,sales,medium
0.51,0.51,0.63,0.63,3,3,183,2,0,0,0,sales,medium
0.63,0.63,0.64,0.64,3,3,174,2,0,0,0,accounting,medium
0.91,0.62,0.63,0.63,4,4,240,3,0,0,0,accounting,low
0.54,0.54,0.5,0.71,2,4,123,4,1,0,0,accounting,low
1,0.62,0.59,0.59,4,4,174,3,0,0,0,hr,low
0.64,0.64,0.91,0.71,5,5,246,3,0,0,0,hr,low
0.65,0.65,0.96,0.71,5,5,173,2,0,0,0,hr,low
0.15,0.62,0.93,0.71,4,4,185,5,0,0,0,hr,low
0.81,0.81,0.83,0.83,4,4,259,3,1,0,0,technical,low
0.61,0.61,0.83,0.83,3,3,112,4,1,0,0,technical,low
0.86,0.62,0.55,0.71,5,5,219,2,0,0,0,technical,medium
0.71,0.71,0.62,0.62,3,3,258,2,0,0,0,technical,medium
0.72,0.72,0.82,0.82,5,5,287,3,0,0,0,technical,medium
0.84,0.84,0.37,0.71,5,5,186,2,0,0,0,technical,medium
0.38,0.38,0.74,0.74,3,3,159,4,0,0,0,technical,medium
0.75,0.75,0.56,0.56,4,4,230,3,0,0,0,technical,medium
0.93,0.62,0.77,0.77,5,5,106,5,0,0,0,technical,medium
0.71,0.71,0.64,0.64,4,4,189,3,0,0,0,technical,medium
0.75,0.75,0.96,0.71,3,3,252,3,0,0,0,technical,medium
0.56,0.56,0.68,0.68,4,4,220,2,0,0,0,support,medium
0.57,0.57,0.82,0.82,5,5,218,3,0,0,0,support,medium
0.63,0.63,0.83,0.83,4,4,145,4,0,0,0,support,medium
0.59,0.59,0.91,0.71,4,4,142,3,1,0,0,support,medium
0.77,0.77,0.62,0.62,3,3,218,2,0,0,0,support,medium
0.65,0.65,0.7,0.7,4,4,157,4,0,0,0,support,medium
0.84,0.84,0.49,0.71,4,4,178,3,0,0,0,support,medium
0.9,0.62,0.45,0.71,4,4,241,6,0,0,0,support,medium
0.6,0.6,0.83,0.83,3,3,230,3,0,0,0,support,medium
0.9,0.62,0.74,0.74,5,5,249,3,0,0,0,support,medium
0.94,0.62,0.7,0.7,5,5,147,2,0,0,0,support,medium
0.56,0.56,0.9,0.71,4,4,115,3,0,0,0,technical,medium
0.95,0.62,0.86,0.86,5,5,143,3,0,0,0,technical,medium
0.97,0.62,0.85,0.85,4,4,219,3,0,0,0,technical,medium
0.55,0.55,0.63,0.63,4,4,218,2,0,0,0,management,medium
0.79,0.79,0.6,0.6,5,5,235,2,0,0,0,IT,medium
0.49,0.49,0.76,0.76,5,5,237,3,0,0,0,IT,high
0.49,0.49,0.58,0.58,5,5,186,2,0,0,0,IT,high
0.57,0.57,0.65,0.65,5,5,177,2,0,0,0,IT,high
0.89,0.62,0.81,0.81,4,4,228,4,0,0,0,IT,high
0.66,0.66,0.59,0.59,3,3,204,3,0,0,0,product_mng,high
0.94,0.62,0.77,0.77,5,5,210,3,0,0,0,product_mng,high
0.98,0.62,0.95,0.71,4,4,250,2,1,0,0,product_mng,high
0.18,0.62,0.52,0.71,5,5,185,6,0,0,0,product_mng,high
0.57,0.57,0.73,0.73,3,3,146,3,0,0,0,IT,high
0.67,0.67,0.55,0.71,3,3,217,2,0,0,0,RandD,high
0.12,0.62,0.61,0.61,6,4,172,6,0,0,0,RandD,high
0.48,0.48,0.95,0.71,3,3,184,2,0,0,0,RandD,high
0.61,0.61,0.97,0.71,3,3,148,3,0,0,0,RandD,low
0.23,0.62,0.52,0.71,5,5,236,4,0,0,0,RandD,low
0.4,0.4,0.38,0.71,3,3,280,2,0,0,0,marketing,low
0.57,0.57,0.6,0.6,3,3,218,3,0,0,0,sales,low
0.95,0.62,0.98,0.71,5,5,155,3,0,0,0,accounting,low
0.93,0.62,0.66,0.66,4,4,242,4,0,0,0,support,low
0.7,0.7,0.88,0.71,3,3,166,5,0,0,0,technical,low
0.58,0.58,0.9,0.71,4,4,175,3,1,0,0,management,low
0.52,0.52,0.95,0.71,5,5,234,3,0,0,0,marketing,low
0.98,0.62,0.88,0.71,5,5,232,3,0,0,0,marketing,low
0.93,0.62,0.94,0.71,4,4,156,3,1,0,0,marketing,low
0.34,0.62,0.63,0.63,5,5,248,3,0,0,0,sales,low
0.87,0.62,0.75,0.75,4,4,218,2,0,0,0,sales,low
0.52,0.52,0.96,0.71,5,5,251,2,1,0,0,sales,low
0.58,0.58,0.91,0.71,4,4,173,4,0,0,0,sales,low
0.65,0.65,0.51,0.71,4,4,157,3,1,0,0,sales,medium
0.74,0.74,0.59,0.59,3,3,274,3,0,0,0,sales,medium
0.63,0.63,0.7,0.7,5,5,182,3,0,0,0,sales,medium
0.74,0.74,0.74,0.74,4,4,233,2,0,0,0,sales,medium
0.65,0.65,1,0.71,4,4,249,3,0,0,0,sales,medium
0.48,0.48,0.94,0.71,3,3,162,3,1,0,0,sales,medium
0.84,0.84,0.75,0.75,3,3,184,3,0,0,0,sales,medium
0.6,0.6,0.62,0.62,3,3,135,2,0,0,0,sales,medium
0.56,0.56,0.57,0.57,3,3,143,2,0,0,0,sales,medium
0.13,0.62,0.8,0.8,5,5,203,5,0,0,0,sales,medium
0.83,0.83,0.51,0.71,5,5,143,4,0,0,0,sales,medium
0.91,0.62,0.42,0.71,2,4,142,3,1,0,0,sales,medium
0.97,0.62,0.97,0.71,5,5,171,2,0,0,0,sales,high
0.9,0.62,0.96,0.71,3,3,223,4,0,0,0,sales,high
0.57,0.57,0.87,0.87,4,4,148,3,0,0,0,sales,high
0.84,0.84,0.79,0.79,6,4,140,2,0,0,0,accounting,high
0.84,0.84,0.74,0.74,4,4,226,2,0,0,0,accounting,high
0.17,0.62,0.93,0.71,5,5,183,5,0,0,0,accounting,high
0.97,0.62,0.86,0.86,5,5,135,3,0,0,0,hr,high
0.94,0.62,0.66,0.66,3,3,236,2,0,0,0,hr,high
0.83,0.83,0.61,0.61,5,5,257,2,0,0,0,hr,low
0.91,0.62,0.73,0.73,3,3,155,3,0,0,0,hr,low
0.9,0.62,0.76,0.76,2,4,211,4,0,0,0,technical,low
0.95,0.62,0.86,0.86,3,3,207,2,0,0,0,technical,low
0.69,0.69,0.95,0.71,3,3,126,6,0,0,0,technical,low
0.49,0.49,0.98,0.71,3,3,267,2,0,0,0,technical,low
0.45,0.45,0.37,0.71,6,4,226,2,0,0,0,technical,low
0.21,0.62,0.9,0.71,2,4,239,2,0,0,0,technical,low
0.67,0.67,0.61,0.61,3,3,202,2,0,0,0,technical,medium
0.76,0.76,0.62,0.62,3,3,150,2,1,0,0,technical,medium
0.19,0.62,0.78,0.78,5,5,156,6,0,0,0,technical,medium
0.52,0.52,0.73,0.73,2,4,233,3,0,0,0,technical,medium
0.66,0.66,0.59,0.59,5,5,262,2,0,0,0,technical,medium
0.95,0.62,0.67,0.67,3,3,183,3,0,0,0,support,medium
0.95,0.62,0.78,0.78,4,4,225,2,0,0,0,support,medium
0.57,0.57,0.54,0.71,5,5,216,3,0,0,0,support,medium
0.48,0.48,0.57,0.57,5,5,227,3,0,0,0,support,medium
0.95,0.62,0.5,0.71,4,4,242,2,0,0,0,support,medium
0.7,0.7,0.67,0.67,4,4,224,3,0,0,0,support,medium
0.48,0.48,0.61,0.61,3,3,223,3,1,0,0,support,medium
0.62,0.62,0.58,0.58,3,3,202,2,0,0,0,support,medium
0.58,0.58,0.76,0.76,3,3,220,3,0,0,0,support,medium
1,0.62,0.87,0.87,4,4,129,5,0,0,0,support,medium
0.79,0.79,0.65,0.65,2,4,193,5,0,0,0,support,medium
0.58,0.58,0.73,0.73,3,3,165,2,0,0,0,technical,medium
0.59,0.59,0.79,0.79,4,4,209,2,0,0,0,technical,medium
0.66,0.66,0.8,0.8,4,4,183,2,1,0,0,technical,medium
0.71,0.71,0.59,0.59,4,4,138,3,0,0,0,management,medium
0.9,0.62,0.74,0.74,5,5,152,3,0,0,0,IT,medium
0.74,0.74,0.63,0.63,4,4,170,2,0,0,0,IT,medium
0.66,0.66,0.93,0.71,5,5,185,3,0,0,0,IT,medium
0.92,0.62,0.53,0.71,2,4,249,2,0,0,0,IT,high
0.55,0.55,0.51,0.71,4,4,155,3,0,0,0,IT,low
0.51,0.51,0.43,0.71,3,3,204,4,0,0,0,product_mng,medium
0.49,0.49,0.52,0.71,5,5,188,4,0,0,0,product_mng,medium
0.88,0.62,0.52,0.71,5,5,264,4,0,0,0,product_mng,medium
0.6,0.6,0.8,0.8,4,4,146,2,0,0,0,product_mng,medium
0.93,0.62,0.65,0.65,4,4,212,4,0,0,0,IT,medium
0.86,0.62,0.59,0.59,3,3,215,3,0,0,0,RandD,medium
0.78,0.78,0.98,0.71,4,4,239,3,0,0,0,RandD,medium
0.69,0.69,0.55,0.71,3,3,188,3,0,0,0,RandD,medium
0.84,0.84,0.51,0.71,4,4,259,3,0,0,0,RandD,medium
0.48,0.48,0.62,0.62,3,3,200,3,1,0,0,RandD,medium
0.63,0.63,0.86,0.86,3,3,245,2,0,0,0,marketing,low
0.54,0.54,0.61,0.61,3,3,182,2,0,0,0,sales,low
0.85,0.62,0.53,0.71,4,4,181,2,0,0,0,accounting,low
0.51,0.51,0.52,0.71,3,3,164,3,0,0,0,support,low
0.88,0.62,0.86,0.86,5,5,257,3,0,0,0,technical,low
0.87,0.62,0.93,0.71,3,3,178,3,0,0,0,management,low
0.54,0.54,0.5,0.71,4,4,224,3,0,0,0,marketing,low
0.96,0.62,0.67,0.67,5,5,170,3,0,0,0,marketing,high
0.58,0.58,0.75,0.75,4,4,233,2,0,0,0,marketing,low
0.21,0.62,0.57,0.57,5,5,239,3,0,0,0,sales,high
0.5,0.5,0.56,0.56,5,5,185,2,0,0,0,sales,high
0.52,0.52,0.54,0.71,4,4,184,3,0,0,0,sales,low
0.5,0.5,0.7,0.7,3,3,188,2,0,0,0,sales,low
0.74,0.74,0.86,0.86,3,3,186,3,1,0,0,sales,high
0.69,0.69,0.63,0.63,3,3,226,3,0,0,0,sales,low
0.61,0.61,0.74,0.74,2,4,143,6,0,0,0,sales,medium
0.5,0.5,0.82,0.82,3,3,213,3,0,0,0,sales,high
0.79,0.79,0.53,0.71,2,4,217,2,0,0,0,sales,medium
0.73,0.73,0.68,0.68,5,5,190,2,0,0,0,sales,medium
0.49,0.49,0.69,0.69,2,4,147,2,0,0,0,sales,medium
0.7,0.7,0.77,0.77,2,4,235,3,1,0,0,sales,medium
0.27,0.62,0.62,0.62,6,4,136,3,0,0,0,sales,high
0.8,0.8,0.54,0.71,5,5,261,2,0,0,0,sales,medium
0.45,0.45,0.6,0.6,6,4,176,4,0,0,0,sales,medium
0.63,0.63,0.64,0.64,4,4,212,4,0,0,0,sales,medium
0.76,0.76,0.52,0.71,2,4,148,3,0,0,0,sales,high
0.42,0.42,0.74,0.74,6,4,218,6,0,0,0,sales,medium
0.41,0.41,0.87,0.87,6,4,262,6,0,0,0,sales,high
0.74,0.74,0.46,0.71,6,4,145,3,0,0,0,accounting,low
0.82,0.82,0.75,0.75,3,3,230,4,1,0,0,accounting,medium
0.82,0.82,0.65,0.65,4,4,210,2,0,0,0,accounting,medium
0.53,0.53,0.73,0.73,4,4,227,3,0,0,0,hr,medium
0.71,0.71,0.77,0.77,4,4,142,2,0,0,0,hr,medium
0.5,0.5,0.9,0.71,4,4,171,2,0,0,0,hr,low
0.68,0.68,0.89,0.71,3,3,241,3,0,0,0,hr,low
0.68,0.68,0.99,0.71,3,3,247,2,1,0,0,technical,low
0.48,0.48,0.86,0.86,5,5,246,3,0,0,0,technical,low
0.59,0.59,0.72,0.72,3,3,188,3,1,0,0,technical,low
0.21,0.62,0.7,0.7,3,3,104,2,0,0,0,technical,low
0.99,0.62,0.73,0.73,5,5,197,4,1,0,0,technical,low
1,0.62,0.88,0.71,4,4,191,4,0,0,0,technical,low
0.84,0.84,0.51,0.71,4,4,173,2,0,0,0,technical,low
0.86,0.62,0.82,0.82,2,4,207,4,1,0,0,technical,low
0.52,0.52,0.54,0.71,5,5,247,4,0,0,0,technical,high
0.94,0.62,0.97,0.71,5,5,197,5,1,0,0,technical,low
0.55,0.55,0.81,0.81,3,3,242,2,0,0,0,technical,low
0.79,0.79,0.59,0.59,3,3,145,2,0,0,0,support,low
0.91,0.62,0.9,0.71,4,4,174,3,0,0,0,support,low
0.82,0.82,0.99,0.71,3,3,195,2,0,0,0,support,high
0.84,0.84,0.94,0.71,4,4,270,3,1,0,0,support,low
0.72,0.72,0.68,0.68,4,4,238,3,0,0,0,support,low
0.68,0.68,0.85,0.85,4,4,156,2,0,0,0,support,low
0.99,0.62,0.96,0.71,5,5,261,3,0,0,0,support,high
0.74,0.74,0.85,0.85,5,5,135,2,0,0,0,support,low
0.8,0.8,0.41,0.71,6,4,185,4,0,0,0,support,medium
0.55,0.55,0.55,0.71,3,3,197,3,0,0,0,support,high
0.56,0.56,0.95,0.71,3,3,241,3,0,0,0,support,medium
0.88,0.62,0.98,0.71,3,3,263,3,1,0,0,technical,high
0.86,0.62,0.49,0.71,4,4,251,2,0,0,0,technical,medium
0.64,0.64,0.95,0.71,3,3,218,2,0,0,0,technical,medium
0.82,0.82,0.58,0.58,4,4,183,3,0,0,0,management,medium
0.66,0.66,0.8,0.8,4,4,252,3,0,0,0,IT,medium
0.64,0.64,0.95,0.71,3,3,98,3,0,0,0,IT,medium
0.17,0.62,0.78,0.78,6,4,284,4,0,0,0,IT,medium
0.75,0.75,0.68,0.68,4,4,220,2,0,0,0,IT,medium
0.45,0.45,0.39,0.71,4,4,275,3,0,0,0,IT,medium
0.99,0.62,0.9,0.71,4,4,164,3,0,0,0,product_mng,high
0.93,0.62,0.67,0.67,5,5,237,4,0,0,0,product_mng,low
0.88,0.62,0.8,0.8,3,3,133,3,0,0,0,product_mng,medium
0.62,0.62,0.52,0.71,5,5,256,4,0,0,0,product_mng,medium
0.94,0.62,0.88,0.71,4,4,270,3,0,0,0,IT,medium
0.59,0.59,0.92,0.71,4,4,196,2,0,0,0,RandD,medium
0.93,0.62,0.89,0.71,4,4,209,2,0,0,0,RandD,medium
0.71,0.71,0.39,0.71,3,3,261,3,0,0,0,RandD,medium
0.6,0.6,0.6,0.6,3,3,221,2,0,0,0,RandD,medium
0.71,0.71,0.69,0.69,4,4,180,3,1,0,0,RandD,medium
0.91,0.62,0.57,0.57,4,4,145,3,0,0,0,marketing,medium
0.78,0.78,0.96,0.71,4,4,111,2,0,0,0,sales,high
0.52,0.52,0.63,0.63,4,4,232,3,0,0,0,accounting,low
0.99,0.62,0.7,0.7,5,5,195,3,0,0,0,support,low
0.86,0.62,0.51,0.71,4,4,211,2,1,0,0,technical,low
0.74,0.74,0.68,0.68,4,4,194,2,0,0,0,management,high
0.15,0.62,0.84,0.84,4,4,275,5,0,0,0,marketing,low
0.57,0.57,0.54,0.71,3,3,140,3,0,0,0,marketing,low
0.67,0.67,0.6,0.6,3,3,157,3,0,0,0,marketing,low
0.8,0.8,0.93,0.71,4,4,258,3,0,0,0,sales,high
0.83,0.83,0.82,0.82,5,5,273,4,0,0,0,sales,low
0.69,0.69,0.53,0.71,3,3,135,2,0,0,0,sales,low
0.64,0.64,0.83,0.83,3,3,188,4,0,0,0,sales,low
0.95,0.62,0.52,0.71,5,5,222,2,0,0,0,sales,low
0.97,0.62,0.52,0.71,4,4,231,3,0,0,0,sales,low
0.85,0.62,0.86,0.86,3,3,255,2,0,0,0,sales,low
0.72,0.72,0.51,0.71,3,3,254,2,0,0,0,sales,low
0.91,0.62,0.85,0.85,3,3,244,3,1,0,0,sales,medium
0.81,0.81,0.83,0.83,3,3,132,4,0,0,0,sales,medium
0.13,0.62,0.67,0.67,5,5,234,6,0,0,0,sales,medium
0.95,0.62,0.81,0.81,4,4,272,3,0,0,0,sales,medium
0.82,0.82,0.54,0.71,4,4,191,3,0,0,0,sales,medium
0.63,0.63,0.93,0.71,4,4,238,4,0,0,0,sales,medium
0.55,0.55,0.69,0.69,3,3,225,2,0,0,0,sales,medium
0.83,0.83,0.95,0.71,3,3,211,2,0,0,0,sales,medium
0.54,0.54,0.98,0.71,3,3,217,3,0,0,0,sales,medium
0.89,0.62,0.91,0.71,5,5,156,4,0,0,0,sales,medium
0.79,0.79,0.55,0.71,3,3,147,3,0,0,0,sales,medium
0.56,0.56,0.73,0.73,4,4,134,3,0,0,0,accounting,medium
0.89,0.62,0.7,0.7,4,4,235,2,1,0,0,accounting,high
1,0.62,0.66,0.66,4,4,238,4,0,0,0,accounting,low
0.43,0.43,0.72,0.72,3,3,258,4,0,0,0,hr,medium
0.71,0.71,0.55,0.71,5,5,224,3,0,0,0,hr,medium
0.98,0.62,0.59,0.59,4,4,149,2,0,0,0,hr,medium
0.81,0.81,0.7,0.7,4,4,219,2,1,0,0,hr,medium
0.71,0.71,0.53,0.71,3,3,186,2,0,0,0,technical,low
0.99,0.62,0.6,0.6,4,4,259,4,0,0,0,technical,low
0.34,0.62,0.62,0.62,3,3,119,2,0,0,0,technical,low
0.58,0.58,0.91,0.71,3,3,223,2,0,0,0,technical,low
0.77,0.77,0.49,0.71,4,4,184,3,0,0,0,technical,low
0.64,0.64,0.5,0.71,3,3,238,4,0,0,0,technical,low
0.13,0.62,1,0.71,4,4,157,5,1,0,0,technical,low
0.98,0.62,0.6,0.6,2,4,249,3,0,0,0,technical,low
0.72,0.72,0.84,0.84,4,4,195,2,0,0,0,technical,low
0.55,0.55,0.79,0.79,3,3,162,2,0,0,0,technical,low
0.62,0.62,0.91,0.71,4,4,231,3,0,0,0,technical,low
0.74,0.74,0.91,0.71,2,4,264,3,0,0,0,support,low
0.69,0.69,0.96,0.71,3,3,210,3,0,0,0,support,low
0.6,0.6,0.63,0.63,4,4,192,3,0,0,0,support,low
0.54,0.54,0.43,0.71,3,3,192,2,0,0,0,support,low
0.56,0.56,0.75,0.75,4,4,249,3,0,0,0,support,low
0.58,0.58,0.86,0.86,5,5,206,3,0,0,0,support,low
0.21,0.62,0.66,0.66,4,4,165,5,0,0,0,support,low
0.52,0.52,0.85,0.85,5,5,183,3,0,0,0,support,low
0.98,0.62,0.7,0.7,4,4,253,2,0,0,0,support,low
0.85,0.62,0.97,0.71,3,3,256,3,0,0,0,support,low
0.62,0.62,0.88,0.71,2,4,263,4,0,0,0,support,medium
0.63,0.63,0.61,0.61,3,3,234,3,1,0,0,technical,medium
0.84,0.84,0.97,0.71,6,4,223,2,0,0,0,technical,medium
0.71,0.71,0.69,0.69,2,4,172,3,0,0,0,technical,medium
0.36,0.62,0.55,0.71,6,4,226,6,0,0,0,management,medium
0.79,0.79,0.56,0.56,6,4,205,4,1,0,0,IT,medium
0.59,0.59,0.55,0.71,4,4,235,2,0,0,0,IT,medium
0.5,0.5,0.53,0.71,4,4,263,3,0,0,0,IT,medium
0.88,0.62,0.66,0.66,4,4,271,3,1,0,0,IT,medium
0.65,0.65,0.69,0.69,6,4,131,5,0,0,0,IT,medium
0.71,0.71,0.56,0.56,4,4,238,4,0,0,0,product_mng,medium
0.89,0.62,0.54,0.71,3,3,214,2,0,0,0,product_mng,medium
0.83,0.83,0.84,0.84,3,3,267,3,0,0,0,product_mng,high
0.73,0.73,0.53,0.71,3,3,184,2,0,0,0,product_mng,low
0.71,0.71,0.67,0.67,3,3,264,3,0,0,0,IT,medium
0.53,0.53,0.66,0.66,3,3,109,2,0,0,0,RandD,medium
0.74,0.74,0.7,0.7,3,3,253,4,1,0,0,RandD,medium
0.6,0.6,0.52,0.71,4,4,207,2,1,0,0,RandD,medium
0.47,0.47,0.6,0.6,4,4,263,5,0,0,0,RandD,low
0.88,0.62,0.88,0.71,3,3,214,2,1,0,0,RandD,low
0.62,0.62,0.67,0.67,2,4,153,3,0,0,0,marketing,low
0.24,0.62,0.48,0.71,5,5,123,5,1,0,0,sales,low
0.15,0.62,0.36,0.71,5,5,159,2,0,0,0,accounting,low
0.92,0.62,0.82,0.82,3,3,185,3,0,0,0,support,low
0.74,0.74,0.7,0.7,4,4,167,3,1,0,0,technical,low
0.86,0.62,0.77,0.77,3,3,271,3,0,0,0,management,low
0.96,0.62,0.61,0.61,3,3,140,3,0,0,0,marketing,low
0.54,0.54,0.6,0.6,4,4,141,3,0,0,0,marketing,low
0.99,0.62,0.87,0.87,4,4,190,2,0,0,0,marketing,low
0.72,0.72,0.73,0.73,5,5,134,2,0,0,0,sales,low
0.96,0.62,0.75,0.75,5,5,176,4,0,0,0,sales,low
0.73,0.73,0.73,0.73,4,4,194,2,0,0,0,sales,low
0.67,0.67,0.44,0.71,5,5,212,4,0,0,0,sales,low
0.58,0.58,0.72,0.72,5,5,234,3,1,0,0,sales,low
0.9,0.62,0.99,0.71,4,4,190,2,0,0,0,sales,low
0.99,0.62,0.37,0.71,5,5,155,3,0,0,0,sales,low
0.89,0.62,0.58,0.58,4,4,232,2,0,0,0,sales,low
0.72,0.72,0.95,0.71,4,4,216,3,0,0,0,sales,low
0.77,0.77,0.8,0.8,3,3,207,3,0,0,0,sales,low
0.8,0.8,0.94,0.71,4,4,200,4,0,0,0,sales,medium
0.89,0.62,0.86,0.86,3,3,178,4,0,0,0,sales,medium
0.59,0.59,0.81,0.81,4,4,173,2,0,0,0,sales,medium
0.24,0.62,0.87,0.87,5,5,268,5,0,0,0,sales,medium
0.94,0.62,0.59,0.59,6,4,212,2,0,0,0,sales,medium
0.74,0.74,0.5,0.71,4,4,216,3,0,0,0,sales,medium
0.63,0.63,0.62,0.62,5,5,212,6,0,0,0,sales,medium
0.63,0.63,0.59,0.59,3,3,155,3,1,0,0,sales,medium
0.77,0.77,0.65,0.65,4,4,164,2,0,0,0,sales,medium
0.87,0.62,0.74,0.74,3,3,209,3,0,0,0,accounting,medium
0.79,0.79,0.61,0.61,4,4,136,3,0,0,0,accounting,medium
0.54,0.54,0.84,0.84,4,4,223,3,0,0,0,accounting,medium
0.59,0.59,0.83,0.83,4,4,239,4,0,0,0,hr,high
0.86,0.62,0.87,0.87,3,3,205,4,0,0,0,hr,low
0.98,0.62,0.68,0.68,3,3,203,3,0,0,0,hr,medium
1,0.62,0.79,0.79,5,5,152,4,0,0,0,hr,medium
0.9,0.62,0.79,0.79,4,4,236,3,1,0,0,technical,medium
0.34,0.62,0.6,0.6,4,4,114,3,0,0,0,technical,medium
0.95,0.62,0.93,0.71,3,3,209,2,0,0,0,technical,low
0.79,0.79,0.48,0.71,4,4,178,2,0,0,0,technical,low
0.13,0.62,0.91,0.71,4,4,175,5,0,0,0,technical,low
0.72,0.72,0.69,0.69,3,3,270,4,0,0,0,technical,low
0.63,0.63,0.54,0.71,3,3,145,2,1,0,0,technical,low
0.81,0.81,0.76,0.76,5,5,134,2,0,0,0,technical,low
0.71,0.71,0.75,0.75,4,4,272,4,0,0,0,technical,low
0.49,0.49,0.76,0.76,3,3,208,2,0,0,0,technical,low
0.59,0.59,0.65,0.65,4,4,219,3,1,0,0,technical,low
0.87,0.62,0.59,0.59,5,5,154,3,0,0,0,support,low
0.66,0.66,0.6,0.6,3,3,179,4,0,0,0,support,low
0.78,0.78,0.92,0.71,5,5,137,2,0,0,0,support,low
0.65,0.65,0.7,0.7,4,4,211,2,0,0,0,support,low
0.8,0.8,0.97,0.71,5,5,271,4,0,0,0,support,low
0.56,0.56,0.75,0.75,4,4,192,2,0,0,0,support,low
0.85,0.62,0.67,0.67,4,4,228,4,0,0,0,support,low
0.14,0.62,0.46,0.71,2,4,267,6,1,0,0,support,low
0.74,0.74,0.62,0.62,4,4,272,2,0,0,0,support,low
